1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,7,1
1,8,2
1,11,1
2,1,2
2,2,3
2,3,2
2,4,3
2,5,3
2,6,2
2,8,2
2,11,2
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
3,7,2
3,8,2
3,11,2
4,1,2
4,2,2
4,3,2
4,4,2
4,5,1
4,7,1
4,8,2
4,11,2
5,1,5
5,2,4
5,3,4
5,4,4
5,5,4
5,7,3
5,8,2
5,11,3
6,1,1
6,2,1
6,3,1
6,4,3
6,5,3
6,7,2
6,8,2
6,11,1
7,1,2
7,2,3
7,3,4
7,4,3
7,5,3
7,7,2
7,8,2
7,11,3
8,1,2
8,2,3
8,3,3
8,4,3
8,5,3
8,7,2
8,8,3
8,11,4
9,1,2
9,2,3
9,3,3
9,4,3
9,5,3
9,7,2
9,8,3
9,11,4
10,1,2
10,2,2
10,3,3
10,4,3
10,5,3
10,7,3
10,8,2
10,11,3
11,1,2
11,2,3
11,3,4
11,4,3
11,5,3
11,7,3
11,8,3
11,11,3
12,1,2
12,2,2
12,3,2
12,4,2
12,5,2
12,7,2
12,8,2
12,11,2
13,1,3
13,2,4
13,3,3
13,4,3
13,5,3
13,7,3
13,8,4
13,11,4
14,1,3
14,2,4
14,3,2
14,4,2
14,5,3
14,7,2
14,8,3
14,11,4
16,1,3
16,2,4
16,3,3
16,4,3
16,5,4
16,7,3
16,8,3
16,11,4
17,4,2
17,5,2
17,7,2
17,8,2
18,2,2
18,4,2
18,5,3
18,7,2
18,11,2
19,1,2
19,2,1
19,3,1
19,4,2
19,5,3
19,7,2
19,11,3
20,1,3
20,2,2
20,3,2
20,4,2
20,5,3
20,7,1
20,8,2
20,11,4
21,1,3
21,2,3
21,3,3
21,4,3
21,5,3
21,7,3
21,8,3
21,11,3
22,1,3
22,2,5
22,3,4
22,4,3
22,5,3
22,7,3
22,8,4
22,11,4
23,1,9
23,2,6
23,3,6
23,4,7
23,5,6
23,7,7
23,8,4
23,9,
23,11,5
23,22,6
23,23,6
24,1,3
24,2,2
24,3,2
24,4,3
24,5,2
24,7,2
24,8,2
24,11,3
25,1,6
25,2,6
25,3,5
25,4,6
25,5,5
25,6,4
25,7,5
25,8,5
25,9,4
25,22,6
25,23,6
26,1,4
26,2,4
26,3,3
26,4,3
26,5,4
26,7,3
26,8,4
26,11,5
27,1,5
27,2,6
27,3,6
27,4,6
27,5,6
27,6,8
27,7,8
27,8,6
27,9,6
27,11,6
28,1,5
28,2,4
28,3,5
28,4,5
28,5,5
28,6,4
28,7,5
28,8,4
28,9,5
28,11,5
28,22,6
28,23,6
29,1,3
29,2,4
29,3,3
29,4,4
29,5,4
29,7,3
29,8,4
29,9,5
29,11,4
29,22,6
29,23,6
30,1,5
30,2,6
30,3,5
30,4,5
30,5,4
30,6,4
30,7,5
30,8,5
30,9,5
30,11,5
30,22,6
30,23,6
31,1,6
31,2,6
31,3,5
31,4,5
31,5,5
31,6,4
31,7,5
31,8,5
31,9,5
31,11,5
31,22,6
31,23,6
32,1,5
32,2,4
32,3,4
32,4,5
32,5,5
32,7,5
32,8,5
32,9,6
32,11,4
32,22,6
32,23,6
33,1,5
33,2,6
33,3,5
33,4,5
33,5,5
33,6,4
33,7,6
33,8,6
33,9,6
33,11,5
33,22,6
33,23,6
34,1,5
34,2,5
34,3,4
34,4,5
34,5,5
34,6,5
34,7,5
34,8,5
34,11,5
35,1,4
35,2,3
35,3,3
35,4,3
35,5,3
35,7,2
35,8,5
35,11,5
36,1,4
36,2,3
36,3,4
36,4,5
36,5,5
