1,1,1.00,300,"P3ii.0"
2,1,10.00,320,"P3ii.2"
3,1,30.00,340,"P3ii.4"
4,1,50.00,360,"P3ii.6"
5,1,70.00,380,"P3ii.8"
6,1,90.00,400,"P4.0"
7,2,10.00,420,"P4.2"
8,2,30.00,440,"P4.4"
9,2,50.00,460,"P4.6"
10,2,70.00,480,"P4.8"
11,2,90.00,500,"P5.0"
12,3,10.00,520,"P5.2"
13,3,30.00,540,"P5.4"
14,3,50.00,560,"P5.6"
15,3,70.00,580,"P5.8"
16,3,90.00,600,"P6.0"
17,4,10.00,620,"P6.2"
18,4,30.00,640,"P6.4"
19,4,50.00,660,"P6.6"
20,4,70.00,680,"P6.8"
21,4,90.00,700,"P7.0"
22,5,10.00,720,"P7.2"
23,5,30.00,740,"P7.4"
24,5,50.00,760,"P7.6"
25,5,70.00,780,"P7.8"
26,5,90.00,800,"P8.0"
27,6,10.00,816,"P8.2"
28,6,30.00,850,"P8.4"
29,6,50.00,883,"P8.6"
30,6,70.00,900,"P8.8"
31,6,90.00,916,"P9.0"
32,7,10.00,950,"P9.2"
33,7,30.00,983,"P9.4"
34,7,50.00,1000,"P9.6"
35,7,70.00,1016,"P9.8"
36,7,90.00,1050,"P10.0"
37,8,10.00,1083,"P10.2"
38,8,30.00,1100,"P10.4"
39,8,50.00,1116,"P10.6"
40,8,70.00,1150,"P10.8"
41,8,90.00,1183,"P11.0"
42,9,10.00,,"P11.2"
43,9,30.00,,"P11.4"
44,9,50.00,,"P11.6"
45,9,70.00,,"P11.8"
46,9,90.00,,"P12.0"
47,10,10.00,,"P12.2"
48,10,30.00,,"P12.4"
49,10,50.00,,"P12.6"
50,10,70.00,,"P12.8"
51,10,90.00,,"P13.0"
52,11,10.00,,"P13.2"
53,11,30.00,,"P13.4"
54,11,50.00,,"P13.6"
55,11,70.00,,"P13.8"
56,11,90.00,,"P14.0"
57,12,10.00,,"P14.2"
58,12,30.00,,"P14.4"
59,12,50.00,,"P14.6"
60,12,70.00,,"P14.8"
61,12,90.00,,"P15.0"
62,13,10.00,,"P15.2"
63,13,30.00,,"P15.4"
64,13,50.00,,"P15.6"
65,13,70.00,,"P15.8"
66,13,90.00,,"P16.0"
67,14,10.00,0,"PP0.2"
68,14,30.00,0,"PP0.4"
69,14,50.00,0,"PP0.6"
70,14,70.00,0,"PP0.8"
71,14,90.00,0,"PP1.0"
72,15,10.00,0,"PP1.2"
73,15,30.00,0,"PP1.4"
74,15,50.00,0,"PP1.6"
75,15,70.00,0,"PP1.8"
76,15,90.00,0,"PP2.0"
77,16,10.00,0,"PP2.2"
78,16,30.00,0,"PP2.4"
79,16,50.00,0,"PP2.6"
80,16,70.00,0,"PP2.8"
81,16,90.00,0,"PP3.0"
82,17,10.00,0,"PP3.2"
83,17,30.00,0,"PP3.4"
84,17,50.00,0,"PP3.6"
85,17,70.00,0,"PP3.8"
